Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1602006167.045272,121.000000,0.000000,4133.333496,4124.102539,4122.051270,4134.358887,4122.563965,4123.077148,4135.384766,4134.871582,4141.025879,4126.153809,4109.743652,4133.846191,4123.589844,4112.307617,745.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.053054,122.000000,0.000000,4143.077148,4120.512695,4128.717773,4136.410156,4122.563965,4120.512695,4129.230957,4127.692383,4129.230957,4143.589844,4112.820313,4141.538574,4123.077148,4130.256348,865.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.060936,123.000000,0.000000,4150.256348,4126.666504,4135.897461,4138.461426,4123.589844,4123.589844,4127.692383,4120.512695,4112.307617,4126.153809,4107.179688,4141.025879,4122.051270,4140.512695,838.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.068818,124.000000,0.000000,4142.051270,4125.128418,4128.717773,4132.307617,4122.563965,4122.051270,4132.307617,4118.974121,4102.563965,4111.794922,4105.128418,4136.410156,4118.461426,4134.871582,767.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.076700,125.000000,0.000000,4135.897461,4126.666504,4125.641113,4131.282227,4122.563965,4125.641113,4135.384766,4123.589844,4102.051270,4124.102539,4105.641113,4141.025879,4114.871582,4134.871582,745.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.084581,126.000000,0.000000,4142.563965,4138.974121,4135.897461,4142.051270,4123.077148,4135.384766,4135.897461,4130.256348,4111.282227,4123.589844,4106.153809,4153.333496,4120.000000,4135.897461,865.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.092463,127.000000,0.000000,4145.641113,4143.589844,4137.948730,4144.615234,4125.641113,4140.000000,4137.436035,4131.794922,4125.641113,4112.307617,4114.358887,4157.436035,4126.666504,4127.692383,838.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.100345,128.000000,0.000000,4141.025879,4142.563965,4131.282227,4140.512695,4129.230957,4139.487305,4137.948730,4126.153809,4128.717773,4124.615234,4121.538574,4147.179688,4125.128418,4130.256348,767.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.108227,0.000000,0.000000,4137.948730,4141.538574,4133.333496,4142.563965,4126.153809,4136.922852,4134.871582,4124.102539,4128.717773,4138.974121,4120.512695,4137.436035,4123.589844,4134.871582,796.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.116109,1.000000,0.000000,4146.666504,4140.512695,4136.922852,4142.563965,4125.641113,4136.410156,4134.871582,4132.820313,4145.128418,4136.410156,4122.051270,4145.641113,4123.589844,4127.179688,793.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.123890,2.000000,0.000000,4155.384766,4140.000000,4138.461426,4138.461426,4129.743652,4135.897461,4139.487305,4139.487305,4156.410156,4136.922852,4121.025879,4156.410156,4124.615234,4125.641113,849.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.131771,3.000000,0.000000,4144.615234,4135.384766,4140.000000,4138.974121,4127.179688,4130.256348,4138.461426,4138.974121,4146.153809,4140.512695,4108.717773,4150.769043,4125.641113,4130.256348,875.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.139652,4.000000,0.000000,4130.769043,4124.102539,4134.358887,4139.487305,4122.051270,4116.410156,4128.717773,4135.384766,4131.794922,4121.025879,4103.589844,4141.538574,4117.436035,4125.641113,813.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.147433,5.000000,0.000000,4132.307617,4120.000000,4128.717773,4134.871582,4123.077148,4106.153809,4122.563965,4127.179688,4123.589844,4106.666504,4107.179688,4142.051270,4104.102539,4121.538574,822.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.155214,6.000000,0.000000,4139.487305,4128.717773,4135.384766,4133.846191,4123.589844,4110.256348,4122.051270,4122.563965,4121.025879,4125.128418,4105.641113,4144.615234,4106.153809,4123.589844,762.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.163096,7.000000,0.000000,4144.102539,4136.922852,4142.563965,4140.512695,4124.615234,4123.077148,4124.615234,4128.205078,4121.025879,4136.410156,4111.794922,4145.128418,4119.487305,4129.230957,675.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.170978,8.000000,0.000000,4141.538574,4139.487305,4141.538574,4144.102539,4129.230957,4130.769043,4132.307617,4136.410156,4122.051270,4126.153809,4123.589844,4152.307617,4123.077148,4137.436035,785.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.178859,9.000000,0.000000,4138.461426,4137.948730,4137.948730,4139.487305,4124.102539,4128.717773,4136.410156,4136.922852,4121.025879,4119.487305,4116.922852,4152.307617,4118.461426,4137.948730,841.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.186741,10.000000,0.000000,4148.717773,4136.410156,4136.922852,4135.897461,4117.436035,4125.128418,4135.384766,4135.897461,4124.102539,4118.461426,4107.179688,4140.512695,4120.512695,4133.333496,865.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.194623,11.000000,0.000000,4157.436035,4141.025879,4138.461426,4138.974121,4127.692383,4127.179688,4137.948730,4134.871582,4129.230957,4121.025879,4112.307617,4136.410156,4126.153809,4138.461426,838.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.202504,12.000000,0.000000,4145.641113,4144.615234,4140.000000,4138.974121,4135.384766,4124.615234,4134.871582,4127.179688,4126.666504,4133.333496,4109.230957,4140.512695,4125.128418,4142.051270,767.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.210485,13.000000,0.000000,4137.948730,4143.589844,4138.461426,4137.948730,4127.179688,4110.256348,4123.589844,4121.025879,4116.410156,4141.025879,4108.717773,4140.512695,4122.563965,4138.974121,744.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.218366,14.000000,0.000000,4142.051270,4140.000000,4135.384766,4136.922852,4120.000000,4100.000000,4120.000000,4121.025879,4106.153809,4140.000000,4121.538574,4138.974121,4123.077148,4139.487305,865.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.226348,15.000000,0.000000,4135.897461,4135.897461,4133.333496,4130.256348,4121.025879,4103.077148,4124.102539,4121.538574,4102.563965,4137.948730,4122.051270,4138.974121,4121.538574,4137.948730,838.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.234230,16.000000,0.000000,4134.871582,4135.384766,4135.384766,4127.179688,4121.538574,4109.743652,4129.743652,4128.205078,4113.333496,4135.384766,4115.897461,4137.948730,4121.538574,4136.922852,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.242111,17.000000,0.000000,4148.205078,4137.436035,4139.487305,4134.358887,4123.077148,4112.820313,4136.410156,4138.974121,4132.820313,4148.205078,4121.025879,4138.974121,4123.589844,4142.563965,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.249993,18.000000,0.000000,4148.717773,4136.922852,4138.461426,4138.974121,4123.077148,4118.461426,4138.461426,4140.512695,4137.436035,4156.922852,4116.922852,4140.512695,4118.974121,4141.025879,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.257875,19.000000,0.000000,4138.974121,4133.846191,4135.897461,4135.384766,4123.077148,4134.358887,4137.436035,4139.487305,4127.692383,4127.179688,4096.922852,4132.820313,4110.256348,4126.666504,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006167.265757,20.000000,0.000000,4139.487305,4127.692383,4134.871582,4134.871582,4131.282227,4143.077148,4138.974121,4135.897461,4117.948730,4090.769287,4089.230713,4124.102539,4100.000000,4117.948730,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
