Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1602006461.763220,107.000000,0.000000,4122.563965,4125.128418,4135.897461,4122.563965,4125.641113,4134.871582,4137.948730,4135.897461,4112.307617,4123.589844,4138.461426,4128.205078,4122.563965,4122.051270,839.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006461.771201,108.000000,0.000000,4125.128418,4123.077148,4136.922852,4121.025879,4127.692383,4136.410156,4141.025879,4136.410156,4105.641113,4133.333496,4136.922852,4136.922852,4123.589844,4126.153809,764.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006461.779083,109.000000,0.000000,4134.871582,4125.128418,4134.871582,4122.563965,4126.666504,4128.717773,4139.487305,4135.897461,4109.230957,4136.410156,4121.025879,4140.512695,4124.615234,4142.051270,736.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006461.786965,110.000000,0.000000,4141.538574,4123.077148,4129.230957,4122.051270,4123.589844,4129.230957,4140.512695,4136.410156,4116.922852,4131.794922,4117.948730,4138.974121,4123.077148,4143.077148,871.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006461.794846,111.000000,0.000000,4134.358887,4115.384766,4123.077148,4117.948730,4123.077148,4130.769043,4140.000000,4141.538574,4123.077148,4130.256348,4131.794922,4137.948730,4122.051270,4128.717773,839.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006461.802728,112.000000,0.000000,4123.077148,4115.384766,4124.615234,4116.922852,4124.102539,4124.102539,4139.487305,4147.692383,4133.333496,4125.641113,4135.384766,4137.948730,4120.512695,4129.230957,764.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006461.810610,113.000000,0.000000,4127.179688,4121.025879,4134.358887,4120.512695,4130.256348,4125.641113,4140.512695,4148.205078,4137.436035,4113.846191,4131.282227,4137.948730,4127.692383,4141.025879,736.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006461.818491,114.000000,0.000000,4137.948730,4123.077148,4140.000000,4124.102539,4136.410156,4136.922852,4140.000000,4144.615234,4132.820313,4118.974121,4138.974121,4138.974121,4140.000000,4140.512695,871.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006461.826373,115.000000,0.000000,4135.897461,4128.205078,4140.000000,4124.102539,4136.410156,4144.102539,4138.461426,4142.563965,4136.410156,4140.512695,4144.615234,4141.538574,4138.974121,4134.871582,839.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006461.834255,116.000000,0.000000,4135.897461,4133.846191,4140.000000,4124.615234,4135.384766,4143.077148,4135.897461,4141.025879,4140.000000,4144.102539,4140.000000,4142.563965,4131.282227,4139.487305,764.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
