Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1602005474.111330,37.000000,0.000000,4141.538574,4138.461426,4155.897461,4127.692383,4131.794922,4151.282227,4154.358887,4142.051270,4152.307617,4155.384766,4140.512695,4154.358887,4137.948730,4136.922852,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.119313,38.000000,0.000000,4138.974121,4139.487305,4159.487305,4132.307617,4136.922852,4152.820313,4150.769043,4141.538574,4155.384766,4142.563965,4151.794922,4161.538574,4141.025879,4143.589844,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.127195,39.000000,0.000000,4137.436035,4137.948730,4154.871582,4132.307617,4127.179688,4140.512695,4143.077148,4134.358887,4149.230957,4137.436035,4152.820313,4167.692383,4141.538574,4139.487305,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.135078,40.000000,0.000000,4142.051270,4137.948730,4154.871582,4127.692383,4123.077148,4134.871582,4136.410156,4127.179688,4142.051270,4157.436035,4144.102539,4170.256348,4144.615234,4138.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.142960,41.000000,0.000000,4135.897461,4137.948730,4154.871582,4123.589844,4125.128418,4137.948730,4134.358887,4122.051270,4137.948730,4150.256348,4135.897461,4153.846191,4131.794922,4134.871582,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.150843,42.000000,0.000000,4126.153809,4134.871582,4148.717773,4123.077148,4124.102539,4134.358887,4133.846191,4121.538574,4133.333496,4121.025879,4135.897461,4135.384766,4116.922852,4124.102539,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.158726,43.000000,0.000000,4125.128418,4133.846191,4146.153809,4124.102539,4126.666504,4134.871582,4134.871582,4129.743652,4138.461426,4124.102539,4137.948730,4133.846191,4127.179688,4121.025879,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.166608,44.000000,0.000000,4125.128418,4136.922852,4150.256348,4127.179688,4128.717773,4141.025879,4139.487305,4137.948730,4150.769043,4146.153809,4138.974121,4136.410156,4137.436035,4121.538574,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.174491,45.000000,0.000000,4128.205078,4137.436035,4153.333496,4132.307617,4125.128418,4132.307617,4136.922852,4137.436035,4152.307617,4144.102539,4140.512695,4135.897461,4129.230957,4124.102539,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.182373,46.000000,0.000000,4137.948730,4135.897461,4153.333496,4130.256348,4122.051270,4128.205078,4130.769043,4135.384766,4144.615234,4128.205078,4141.025879,4138.461426,4126.153809,4136.922852,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.190356,47.000000,0.000000,4135.897461,4131.282227,4153.333496,4126.153809,4123.589844,4138.974121,4130.769043,4136.410156,4141.025879,4124.102539,4135.384766,4142.563965,4128.205078,4137.948730,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.198238,48.000000,0.000000,4121.538574,4122.563965,4152.307617,4125.128418,4124.615234,4134.358887,4137.436035,4135.384766,4136.410156,4123.589844,4126.153809,4142.563965,4122.051270,4118.974121,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.206120,49.000000,0.000000,4123.589844,4123.077148,4154.871582,4131.282227,4121.025879,4120.512695,4141.025879,4134.871582,4131.794922,4118.974121,4127.179688,4144.615234,4117.948730,4118.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.214003,50.000000,0.000000,4144.102539,4138.461426,4163.589844,4140.512695,4124.102539,4124.102539,4140.512695,4136.410156,4134.871582,4133.333496,4140.000000,4155.384766,4127.692383,4141.025879,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.221885,51.000000,0.000000,4146.666504,4141.025879,4157.948730,4138.461426,4129.743652,4118.974121,4137.948730,4130.256348,4132.820313,4145.128418,4143.077148,4157.948730,4129.230957,4143.589844,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.229767,52.000000,0.000000,4125.128418,4120.512695,4137.436035,4120.512695,4117.436035,4082.564209,4133.333496,4120.512695,4110.769043,4121.538574,4132.820313,4143.077148,4115.384766,4126.666504,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.237650,53.000000,0.000000,4113.846191,4110.769043,4128.717773,4111.794922,4105.641113,4069.743652,4131.282227,4124.615234,4103.589844,4104.615234,4132.307617,4135.897461,4112.307617,4125.128418,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.245532,54.000000,0.000000,4127.179688,4127.692383,4137.948730,4121.025879,4124.102539,4106.666504,4134.358887,4145.128418,4129.230957,4129.230957,4142.563965,4146.153809,4132.307617,4138.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.253314,55.000000,0.000000,4141.025879,4142.051270,4142.563965,4130.769043,4145.128418,4138.461426,4144.615234,4154.358887,4140.000000,4145.641113,4144.102539,4148.205078,4144.102539,4144.615234,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005474.261195,56.000000,0.000000,4141.538574,4140.000000,4134.871582,4128.717773,4141.538574,4143.077148,4153.333496,4143.589844,4122.051270,4135.384766,4136.922852,4138.461426,4137.948730,4136.410156,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
