Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1602005352.884317,7.000000,0.000000,4124.102539,4123.077148,4137.436035,4126.666504,4120.512695,4125.641113,4126.153809,4119.487305,4104.102539,4094.358887,4131.794922,4135.384766,4121.538574,4138.974121,684.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.892099,8.000000,0.000000,4123.077148,4123.589844,4134.871582,4125.128418,4120.512695,4123.077148,4121.538574,4112.307617,4104.615234,4103.589844,4122.051270,4125.641113,4120.512695,4136.922852,780.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.899981,9.000000,0.000000,4121.538574,4121.538574,4126.666504,4124.102539,4122.051270,4120.512695,4120.512695,4112.307617,4111.794922,4131.282227,4123.077148,4125.128418,4120.512695,4121.538574,841.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.907863,10.000000,0.000000,4121.025879,4121.538574,4128.717773,4125.128418,4123.077148,4121.538574,4119.487305,4120.512695,4128.717773,4140.000000,4129.743652,4125.128418,4121.025879,4125.128418,871.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.915746,11.000000,0.000000,4128.717773,4129.230957,4136.410156,4125.641113,4123.589844,4120.512695,4116.922852,4123.077148,4139.487305,4137.948730,4131.794922,4121.538574,4123.077148,4136.410156,837.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.923628,12.000000,0.000000,4131.282227,4133.846191,4133.846191,4125.128418,4129.230957,4121.538574,4116.922852,4121.025879,4135.897461,4125.128418,4134.358887,4122.051270,4124.615234,4127.179688,778.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.931611,13.000000,0.000000,4123.589844,4130.769043,4128.205078,4127.179688,4136.922852,4126.153809,4123.077148,4125.128418,4140.000000,4116.922852,4136.922852,4122.051270,4125.128418,4120.000000,777.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.939494,14.000000,0.000000,4120.512695,4131.794922,4124.615234,4128.205078,4137.948730,4131.282227,4130.769043,4132.820313,4152.820313,4131.282227,4137.436035,4111.794922,4129.230957,4127.179688,871.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.947377,15.000000,0.000000,4123.077148,4137.436035,4121.538574,4124.102539,4130.769043,4134.871582,4134.871582,4136.922852,4154.871582,4142.051270,4132.820313,4102.563965,4130.256348,4125.641113,837.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.955260,16.000000,0.000000,4127.692383,4137.948730,4123.077148,4122.563965,4126.153809,4137.436035,4137.948730,4136.410156,4151.282227,4132.307617,4123.077148,4109.743652,4126.153809,4125.128418,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.963143,17.000000,0.000000,4133.846191,4136.410156,4125.128418,4127.692383,4127.692383,4139.487305,4139.487305,4135.897461,4151.794922,4127.692383,4124.102539,4123.589844,4124.102539,4136.410156,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.971026,18.000000,0.000000,4129.743652,4135.897461,4122.051270,4128.205078,4127.179688,4139.487305,4139.487305,4137.436035,4145.128418,4131.794922,4133.333496,4121.025879,4123.589844,4130.769043,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.978909,19.000000,0.000000,4121.025879,4133.846191,4120.512695,4124.102539,4124.102539,4136.922852,4137.436035,4136.410156,4127.692383,4124.102539,4130.256348,4108.205078,4123.077148,4111.794922,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.986792,20.000000,0.000000,4125.128418,4131.282227,4122.051270,4124.615234,4124.102539,4130.256348,4134.358887,4133.846191,4114.871582,4114.358887,4121.025879,4112.820313,4123.077148,4108.717773,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005352.994675,21.000000,0.000000,4128.205078,4127.692383,4121.538574,4126.153809,4125.128418,4123.589844,4130.256348,4130.256348,4109.743652,4099.487305,4121.538574,4120.000000,4116.922852,4111.794922,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005353.002558,22.000000,0.000000,4121.538574,4122.563965,4120.000000,4123.589844,4122.051270,4122.051270,4127.692383,4126.666504,4105.641113,4077.435791,4123.077148,4110.256348,4107.692383,4107.692383,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005353.010341,23.000000,0.000000,4118.461426,4125.641113,4119.487305,4121.025879,4120.512695,4124.102539,4125.641113,4121.538574,4106.666504,4081.538574,4112.820313,4106.666504,4106.666504,4106.153809,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005353.018224,24.000000,0.000000,4124.615234,4135.384766,4120.512695,4124.615234,4124.615234,4129.743652,4124.615234,4122.563965,4118.461426,4115.384766,4107.692383,4118.974121,4109.743652,4108.717773,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005353.026107,25.000000,0.000000,4127.692383,4138.974121,4119.487305,4129.230957,4129.230957,4137.436035,4131.282227,4132.307617,4133.846191,4135.897461,4119.487305,4126.666504,4109.743652,4112.307617,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005353.033990,26.000000,0.000000,4123.589844,4137.436035,4114.358887,4129.743652,4126.666504,4139.487305,4138.461426,4133.846191,4142.563965,4130.256348,4124.615234,4126.666504,4111.794922,4110.769043,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005353.041873,27.000000,0.000000,4126.666504,4136.410156,4112.307617,4129.743652,4125.128418,4138.461426,4136.410156,4129.230957,4143.589844,4122.563965,4116.410156,4128.205078,4114.871582,4107.179688,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005353.049755,28.000000,0.000000,4135.897461,4138.461426,4117.948730,4134.871582,4134.358887,4142.051270,4134.871582,4134.358887,4145.641113,4128.717773,4118.974121,4127.179688,4119.487305,4114.871582,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005353.057638,29.000000,0.000000,4140.512695,4145.128418,4123.589844,4142.051270,4144.615234,4147.179688,4140.512695,4140.000000,4145.128418,4126.153809,4130.769043,4128.205078,4126.666504,4129.743652,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005353.065521,30.000000,0.000000,4134.358887,4144.102539,4116.410156,4138.974121,4138.974121,4142.051270,4134.871582,4128.205078,4126.666504,4100.512695,4126.153809,4123.589844,4121.025879,4119.487305,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
