Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1602005709.946407,35.000000,0.000000,4147.692383,4138.974121,4132.820313,4136.410156,4128.205078,4129.743652,4129.230957,4122.563965,4136.922852,4136.410156,4141.538574,4151.794922,4142.563965,4145.128418,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005709.954189,36.000000,0.000000,4145.128418,4138.974121,4134.871582,4136.410156,4122.563965,4137.948730,4140.512695,4131.794922,4136.922852,4131.282227,4143.077148,4153.333496,4145.128418,4136.922852,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005709.962071,37.000000,0.000000,4135.897461,4131.282227,4137.948730,4128.205078,4122.563965,4139.487305,4140.512695,4133.846191,4124.102539,4118.974121,4137.948730,4152.820313,4134.358887,4139.487305,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005709.969953,38.000000,0.000000,4134.358887,4124.102539,4137.948730,4126.153809,4122.051270,4134.871582,4135.897461,4131.282227,4116.922852,4117.948730,4133.846191,4149.230957,4118.461426,4138.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005709.977835,39.000000,0.000000,4140.512695,4132.820313,4142.563965,4137.436035,4120.512695,4132.820313,4141.025879,4136.922852,4122.563965,4126.153809,4136.922852,4153.333496,4125.128418,4138.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005709.985717,40.000000,0.000000,4143.077148,4141.538574,4145.128418,4137.948730,4122.563965,4128.717773,4135.897461,4136.410156,4128.717773,4127.179688,4137.948730,4158.974121,4137.948730,4152.307617,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005709.993599,41.000000,0.000000,4136.922852,4131.794922,4136.410156,4124.615234,4122.563965,4110.256348,4109.230957,4123.077148,4129.230957,4125.128418,4135.384766,4154.871582,4131.282227,4153.333496,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005710.001481,42.000000,0.000000,4132.820313,4126.153809,4127.692383,4126.666504,4121.538574,4095.897461,4093.846191,4116.410156,4126.666504,4117.436035,4137.436035,4148.205078,4127.692383,4136.410156,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005710.009363,43.000000,0.000000,4140.512695,4137.436035,4134.358887,4138.461426,4131.794922,4110.769043,4102.051270,4121.025879,4124.102539,4101.025879,4142.563965,4152.820313,4141.538574,4139.487305,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005710.017244,44.000000,0.000000,4144.102539,4140.512695,4142.563965,4133.846191,4138.974121,4126.666504,4111.282227,4120.512695,4121.025879,4107.179688,4143.077148,4157.948730,4144.102539,4152.820313,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005710.025226,45.000000,0.000000,4129.743652,4125.128418,4131.794922,4122.563965,4129.743652,4117.948730,4115.897461,4116.922852,4115.897461,4129.230957,4137.948730,4147.692383,4126.153809,4143.077148,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005710.033107,46.000000,0.000000,4124.102539,4118.461426,4123.589844,4123.077148,4121.025879,4117.436035,4128.205078,4120.000000,4115.384766,4129.230957,4132.820313,4143.077148,4120.000000,4130.769043,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005710.040988,47.000000,0.000000,4139.487305,4127.692383,4136.410156,4130.256348,4125.128418,4136.410156,4142.563965,4134.358887,4130.256348,4128.717773,4139.487305,4150.769043,4134.358887,4136.922852,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005710.048870,48.000000,0.000000,4143.077148,4131.794922,4140.000000,4129.230957,4129.230957,4144.615234,4148.205078,4147.179688,4150.256348,4143.077148,4147.692383,4146.153809,4144.102539,4142.563965,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005710.056751,49.000000,0.000000,4126.153809,4125.128418,4124.615234,4123.077148,4124.102539,4135.384766,4143.077148,4145.128418,4160.000000,4138.461426,4142.563965,4135.897461,4136.922852,4138.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005710.064633,50.000000,0.000000,4122.563965,4123.077148,4122.563965,4122.051270,4116.410156,4125.641113,4135.897461,4143.589844,4169.743652,4132.307617,4140.512695,4138.974121,4131.794922,4136.410156,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602005710.072414,51.000000,0.000000,4135.897461,4129.743652,4132.820313,4124.102539,4116.410156,4123.077148,4136.410156,4145.641113,4179.487305,4143.589844,4146.666504,4141.025879,4137.436035,4135.897461,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
